"Tract ID","STATE2KX","CNTY2KX","TRACT2KX","e(0)","se(e(0))","Abridged life table flag"
06001424001,06,001,424001,76.5,1.9624,3
06001424002,06,001,424002,79.1,3.2375,3
06001425101,06,001,425101,81,1.9502,3
06001425102,06,001,425102,80.9,1.5136,2
06001425103,06,001,425103,80.9,2.5065,2
06001425104,06,001,425104,80,1.3671,2
06001426200,06,001,426200,82.2,3.1556,3
06001427100,06,001,427100,80.9,1.4954,3
06001427200,06,001,427200,79.9,1.9184,3
06001427300,06,001,427300,78,1.2697,1
06001427600,06,001,427600,76,1.174,2
06001427700,06,001,427700,78.9,1.4861,3
06001427800,06,001,427800,80.9,1.4003,3
06001427900,06,001,427900,82,2.2801,3
06001428000,06,001,428000,80.4,1.9028,2
06001428100,06,001,428100,80.3,1.3366,3
06001428200,06,001,428200,82.7,1.4977,3
06001428301,06,001,428301,81.5,1.0808,3
06001428302,06,001,428302,86,1.9424,3
06001428400,06,001,428400,79.9,1.3604,3
06001428500,06,001,428500,81.8,1.4278,3
06001428600,06,001,428600,80.2,1.3108,3
06001428700,06,001,428700,80.3,1.6721,1
06001430101,06,001,430101,82.2,1.6772,3
06001430102,06,001,430102,85.9,2.846,3
06001430200,06,001,430200,82.7,1.3656,3
06001430300,06,001,430300,82.1,1.3844,3
06001430400,06,001,430400,81.7,1.465,3
06001430500,06,001,430500,80.6,1.5934,3
06001430600,06,001,430600,82.1,1.6235,3
06001430700,06,001,430700,80.2,1.1686,2
06001430800,06,001,430800,82.8,2.0315,3
06001430900,06,001,430900,76.9,1.271,3
06001431000,06,001,431000,79.7,1.7171,3
06001431100,06,001,431100,76.8,2.0888,3
06001431200,06,001,431200,79.4,1.4625,3
06001432100,06,001,432100,78.4,1.6278,3
06001432200,06,001,432200,82.1,1.6825,3
06001432300,06,001,432300,80.9,1.5476,3
06001432400,06,001,432400,80.6,1.6033,3
06001432501,06,001,432501,81.4,1.7738,3
06001432502,06,001,432502,83.2,2.2637,3
06001432600,06,001,432600,78.1,1.1138,3
06001432700,06,001,432700,83.4,1.5944,3
06001432800,06,001,432800,81.5,1.3914,3
06001433000,06,001,433000,80.4,1.0822,3
06001433102,06,001,433102,78.5,1.4111,3
06001433103,06,001,433103,76.8,1.892,3
06001433104,06,001,433104,80.5,1.6196,2
06001433200,06,001,433200,81.1,1.942,3
06001433300,06,001,433300,79.9,1.7984,3
06001433400,06,001,433400,85.5,2.4014,3
06001433500,06,001,433500,81.3,1.8597,3
06001433600,06,001,433600,81.6,2.1076,3
06001433700,06,001,433700,79.1,2.4416,3
06001433800,06,001,433800,82.6,2.1479,3
06001433900,06,001,433900,78.7,2.1167,3
06001434000,06,001,434000,80.6,2.6138,3
06001435102,06,001,435102,80.8,1.2655,3
06001435103,06,001,435103,84.5,2.7738,3
06001435200,06,001,435200,78,1.7696,3
06001435300,06,001,435300,75.5,1.5852,3
06001435400,06,001,435400,77.5,1.3405,3
06001435500,06,001,435500,76.6,1.6673,3
06001435601,06,001,435601,73,1.5878,3
06001435602,06,001,435602,79.5,2.0295,3
06001435700,06,001,435700,83.3,2.2154,3
06001435800,06,001,435800,83.5,2.2141,3
06001435900,06,001,435900,80.9,1.0163,3
06001436000,06,001,436000,80.3,1.3214,3
06001436100,06,001,436100,81.4,1.4719,3
06001436200,06,001,436200,75.6,1.7135,3
06001436300,06,001,436300,80.7,3.0804,3
06001436401,06,001,436401,79.9,1.5511,3
06001436402,06,001,436402,83.3,1.3939,3
